	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text_with_hotwords	inferred_text_without_hotwords	motherfile	dist
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/001_20160613.wav	0.0	0	29.25	1289925	000_20160613	mr colleagues but we are waiting to collegmrnidemullar who has to present the report on the delegation to greece good again start so could afternoon everybody	mr colleagues but we are waiting to collegmrnidemullar who has to present the report on the delegation to greece good again start so could afternoon everybody	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/002_20160613.wav	29.25002267573696	1289926	55.80002267573696	2460781	001_20160613	to our meeting today which will start has a regular libe meeting and afterwards will continue with a hearing so first i take that if there are no objections to the agenda it is adopted and i have to announce the linguistic profile which today	to our meeting today which will start has a regular libe meeting and afterwards will continue with a hearing so first i take that if there are no objections to the agenda it is adopted and i have to announce the linguistic profile which today	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/003_20160613.wav	55.800045351473926	2460782	79.65004535147392	3512567	002_20160613	our french german italian english spanish swedish hungarian polish slovak bulgarian and romanian then we have to approve the minutes of the meetings of the sixteen seventeen june two thousand and fifteen and the twenty november two thousand and fifteen there are no objections to them in its they are adopted and the first point	our french german italian english spanish swedish hungarian polish slovak bulgarian and romanian then we have to approve the minutes of the meetings of the sixteen seventeen june two thousand and fifteen and the twenty november two thousand and fifteen there are no objections to them in its they are adopted and the first point	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/004_20160613.wav	79.65006802721088	3512568	95.30006802721088	4202733	003_20160613	on our agenda is a consideration of the draft mission report to greece between the seventeen to twenty ars may	on our agenda is a consideration of the draft mission report to greece between the seventeen to twenty ars may	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/005_20160613.wav	95.30009070294784	4202734	116.15009070294785	5122219	004_20160613	the delegation visit was designed as fact finding mission to export the situation on the ground regarding the implementation of asylum and migration as well as the external border policies the programme included with its refugee camps and hotspots and of the region of the greece fire of border in greece	the delegation visit was designed as fact finding mission to export the situation on the ground regarding the implementation of asylum and migration as well as the external border policies the programme included with its refugee camps and hotspots and of the region of the greece fire of border in greece	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/006_20160613.wav	116.15011337868481	5122220	138.5001133786848	6107855	005_20160613	mr nidal mura was appointed the head of delegation so if you are ready iter i will give you the floor to present a presnalwasalcoi would like to take this opportunity to speak my mother tang hungarian	mr nidal mura was appointed the head of delegation so if you are ready iter i will give you the floor to present a presnalwasalcoi would like to take this opportunity to speak my mother tang hungarian	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/007_20160613.wav	138.50013605442177	6107856	157.55013605442176	6947961	006_20160613	first of all i would like to apologise for these few minutes of delay this afternoon or ran noon you must have received the first version of this report	first of all i would like to apologise for these few minutes of delay this afternoon or ran noon you must have received the first version of this report	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/008_20160613.wav	157.55015873015873	6947962	184.30015873015873	8127637	007_20160613	we were trying to give you a detailed and accurate account of what happened during this mission visiting greece covering all details you will have seen in the first page that in the delegation all the political families were represented and	we were trying to give you a detailed and accurate account of what happened during this mission visiting greece covering all details you will have seen in the first page that in the delegation all the political families were represented and	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/009_20160613.wav	184.3001814058957	8127638	205.0501814058957	9042713	008_20160613	we were trying to make the best use of our time to go to the possible largest number of places and to visit several institutions organisations and to engage in negotiations with them i hope the report will	we were trying to make the best use of our time to go to the possible largest number of places and to visit several institutions organisations and to engage in negotiations with them i hope the report will	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20160613/010_20160613.wav	205.05020408163264	9042714	234.20020408163265	10328229	009_20160613	convince you that we have gained a wide spectrum of impressions of the situation in greece at a time of our visit in to many was still functional and we visited this camp and we saw the conditions there we visited hotspots we went to camps in moria	convince you that we have gained a wide spectrum of impressions of the situation in greece at a time of our visit in to many was still functional and we visited this camp and we saw the conditions there we visited hotspots we went to camps in moria	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20160613.wav	0
