	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text	motherfile
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/001_2017020902.wav	0.0	0	26.65	1175265	000_2017020902	mprestetethisaftenon i am here to chair because the colleague klodmoras ask me to represent him in this afternoon so we can start with our work the first point is the endorsement of a coordinators recommendation	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/002_2017020902.wav	26.650022675736963	1175266	48.30002267573696	2130031	001_2017020902	ms milnaraaldegroup has been a nominated the rapporteur for opinion on the own initiative report of the inta committee towards a digital trade strategy does the committee endorse this coordinator recommendation	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/003_2017020902.wav	48.300045351473926	2130032	74.45004535147392	3283247	002_2017020902	mr president we go to the other second point the second point is proposal for a council implementing a decision setting out a recommendation for prolonging temporary international border control in exceptional circumstance since circumstances putting the overall functioning of the schengen area at risk	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/004_2017020902.wav	74.45006802721089	3283248	96.90006802721088	4273293	003_2017020902	for this point you know dear colleague that on twenty five january the commission presented this proposal with a view to allowing the maintain to maintain the temporary control currently in place at to certain international schengen borders in austria germania ten marks with en and grower way	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/005_2017020902.wav	96.90009070294785	4273294	120.35009070294785	5307439	004_2017020902	for a farter period of three months the council implementing a decision setting out a recommendation for prolonging temporary international border control in exceptional circumstances putting the overall functioning of the schengen area at risk was then adopted by the council on seven february	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/006_2017020902.wav	120.35011337868481	5307440	141.3001133786848	6231335	005_2017020902	i would like to welcome the maltese presidency represented by mrs gap and the ministers i have part of the commission as ms gad as to leave our meeting at to twenty five i will give her the floor first for representation of the council decision	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/007_2017020902.wav	141.30013605442176	6231336	164.05013605442176	7234611	006_2017020902	we will then passe to the commission after that i will give the floor to any member wishing to take the floor and will i den give five minute the floor to the commission to respond to any question so mrs at you have the floor	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/008_2017020902.wav	164.05015873015873	7234612	188.80015873015873	8326087	007_2017020902	mr president thank you very much god afternoon to everyone and my apologies and advance for not being able to remain with you for the whole debate as you rightly mention the commission issued its proposal for a recommendation to prolong the controls for another three months and the council adopted that recommendation on seven february	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/009_2017020902.wav	188.8001814058957	8326088	204.7501814058957	9029483	008_2017020902	we had discussion at a technical level and then up the hiq through carper some concerns were expressed by some member states but the council	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/010_2017020902.wav	204.75020408163266	9029484	225.90020408163267	9962199	009_2017020902	considered that the recommendation should be adopted we recognised that there has been a lot of improvement in the situation but that it is not yet stable and that the conditions for prolonging the controls remain	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/011_2017020902.wav	225.9002267573696	9962200	254.95022675736962	11243305	010_2017020902	therefore the recommendation was adopted allowing controls for another three months however should be noted that the recommendation also encourages the member states concerned to consider alternative measures pest such as police checks before resorting to the maintenance the prolongation of their internal border controls	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
11	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/012_2017020902.wav	254.95024943310656	11243306	278.9002494331066	12299501	011_2017020902	the recommendation also maintains the requirement for monthly reports to be submitted by the member states consent and the recommendation itself also acknowledges the improvements that have been made so it does acknowledge the progress and the developments since the previous recommendation	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
12	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/013_2017020902.wav	278.9002721088435	12299502	295.6502721088435	13038177	012_2017020902	clearly the objective for all remains to return to a normally functioning schengen area as soon as possible however basically the decision is that this is not yet possible right now	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
13	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/014_2017020902.wav	295.6502947845805	13038178	316.4002947845805	13953253	013_2017020902	the recommendation does require that an assessment is carried out us to whether those controls are needed at all of these points and with the same intensity so where there is no need for them or where they can be carried out with less intensity then they should be but	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
14	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/015_2017020902.wav	316.40031746031747	13953254	342.9503174603175	15124109	014_2017020902	basically this is this is this is what the recommendation envisages and that the process that let us to its adoption thank youthankythankmrsgatnowigive a floor to the commission and mr safardyouhavetheflr	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
15	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/016_2017020902.wav	342.9503401360544	15124110	359.4003401360544	15849555	015_2017020902	yerprdenntteeuropean commission welcomes the adoption by the council of the recommendation to prolong temporary internal border controls for another three months subject to strict conditions	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
16	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/017_2017020902.wav	359.4003628117914	15849556	382.2503628117914	16857241	016_2017020902	also let me underline that it is up to the five schengen states concerned to decide whether to apply this recommendation we just got today their notification from austria that they will apply this council decision for the next three months	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
17	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/018_2017020902.wav	382.2503854875283	16857242	398.60038548752834	17578277	017_2017020902	the commission in its recommendation fully recognises that important progress has been made on the way back to schengen since the first prolongation in october two thousand and sixteen	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
18	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/019_2017020902.wav	398.6004081632653	17578278	419.3504081632653	18493353	018_2017020902	let me mention here in particular the fast operus an uprinazenalisation of the european border and coast guard agency as you might have also seen in the commission communication in the progress report published by the commission adopted by the commission on twenty five january	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
19	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/020_2017020902.wav	419.3504308390023	18493354	441.8004308390023	19483399	019_2017020902	we despite important improvements in the management of external borders in greece and by greece some of the actions identified in the back to schengen roadmap still require more time to be fully implemented on to deliver the expected results	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
20	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/021_2017020902.wav	441.8004535147392	19483400	459.0504535147392	20244125	020_2017020902	we think that the current prolongation is limited and balanced one reflecting the progressive stabilisation of the overall situation in particular temporary internal border controls should be used only as a last resort	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
21	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/022_2017020902.wav	459.0504761904762	20244126	483.9004761904762	21340011	021_2017020902	by the five member states after they and we underline these in the recommendations after they had clearly exermined alternative measures such as police checks instead of border checks furthermore the border checks the border controls should be proportionate and targeted	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
22	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/023_2017020902.wav	483.9004988662131	21340012	508.25049886621315	22413847	022_2017020902	based on regular evaluation and reevaluation of the border checks whether there are still necessary and also looking at risk analysis and intelligence leading to the situation that also in the five member states during the time period they might come to the conclusion that the border checks cannot be justified any more by the situation	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
23	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/024_2017020902.wav	508.2505215419501	22413848	527.2005215419501	23249543	023_2017020902	and as already mentioned by the maltese presidency the member states have to report monthly on the controls both to the commission and to the council and finally instead of six months the prolongation was done only for three months	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
24	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/025_2017020902.wav	527.200544217687	23249544	549.7505442176871	24243999	024_2017020902	the commission will continue working with the member states concerned to gradually face out those temporary internal border controls and of course our ultimate goal remains to return to a normally functioning schengen area as soon as possible	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
25	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017020902/026_2017020902.wav	549.7505668934241	24244000	572.700566893424	25256095	025_2017020902	r president thank you so much for the expend presentations from ms alison and mr safa my first comment is to underline that is the second prolongation	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017020902.wav
