	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text	motherfile
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/001_2016112901.wav	0.0	0	19.55	862155	000_2016112901	pre morning good morning colleagues and particular thanks again to colleagues who have come on time it really helps and apologies that we starting a little late	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/002_2016112901.wav	19.55002267573696	862156	48.000022675736965	2116801	001_2016112901	again but it is really appreciated that those colleagues here have come on time in the mornings a point to the linguistic profile for this morning that danish croatia is stony an galit greek latvian maltese and slovak will not be available today and i just have an additional endorsement of coordinators recommendations in addition to the announcement yesterday and that additional one is that	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/003_2016112901.wav	48.00004535147392	2116802	77.55004535147393	3419957	002_2016112901	following the coordinator decision by written procedure of the fifteen november an extraordinary joint rebaeconmeeting on the presentation of the draft report on the anti money laundering directive will take place on december two thousand and sixteen so this is the additional endorsement of coordinator recommendations for this morning in addition to those announced yesterday and with this endorsement	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/004_2016112901.wav	77.55006802721088	3419958	93.40006802721088	4118943	003_2016112901	the coordinators recommendations i take will be endorsed by the committee under rule tool five sent so we come to point seven welcome to our four members now	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/005_2016112901.wav	93.40009070294785	4118944	117.95009070294785	5201599	004_2016112901	we had colleagues may remember a libya ad hoc delegation to lebanon between nineteen and twenty second september a draft of this report was distribute to electronically to leave a members but of course it was one of those delegations which fitted very strongly with or	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/006_2016112901.wav	117.9501133786848	5201600	139.9001133786848	6169595	005_2016112901	ar core work on asylum and migration and integration and one of the key topics with the challenges faced by third countries in receiving large numbers of refugees and how the eu could support those countries against the backdrop of recent commission communications and establishing partnership framework with third countries	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/007_2016112901.wav	139.90013605442178	6169596	163.35013605442177	7203741	006_2016112901	in this respect the delegation report also link to the opinioned of vergia on addressing refugee in migrant movements and various other reports colleagues here are well versed in those and of course also we highlighted on the visit the	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/008_2016112901.wav	163.35015873015874	7203742	188.20015873015873	8299627	007_2016112901	reports of ms biork on resettlement but but really the core of the visit as you will hear in a moment was to really address the emergency of a situation we are very small country is hosting a emergency refugee population and how we	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/009_2016112901.wav	188.2001814058957	8299628	215.6501814058957	9510173	008_2016112901	discussed and manage this and for some feed back on on the practical and policy issues eminating i wonder any members who were on that delegation would like to give give an opinion a report back from that delegation and i am looking at mr engo who was one of the delegation	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/010_2016112901.wav	215.65020408163267	9510174	234.80020408163264	10354689	009_2016112901	members if not like an keep going but fright would you like to say if you my key points would be to say that it was a very practical and extensive	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/011_2016112901.wav	234.80022675736961	10354690	259.2502267573696	11432935	010_2016112901	visit and i would like to thank the secretariat we were it was it was extremely intensive visit not just with the ngos but the refugees themselves who were going to be resettled many of them any eu countries and in norway we looked very closely at the	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
11	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/012_2016112901.wav	259.2502494331066	11432936	280.10024943310657	12352421	011_2016112901	the sheer numbers that were in lebanon a country which is now essentially a refugee country and we were able to understand the pressures there but also the combined pressures of the big syrian population also in lebanon	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
12	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2016112901/013_2016112901.wav	280.1002721088435	12352422	302.8502721088435	13355697	012_2016112901	added to that the existing palestinian refugee population in that country i think the key points if we have to be very honest were to examine the number of differences between the numbers poring into that that area and the relative numbers	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2016112901.wav
