	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text_with_hotwords	inferred_text_without_hotwords	motherfile	dist
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/001_2017062202.wav	0.0	0	15.55	685755	000_2017062202	get afternoon colleagues and i am sorry for the short delay we have a short meeting this afternoon we finish un un i hurd and thirty de	get afternoon colleagues and i am sorry for the short delay we have a short meeting this afternoon we finish it and i huredand thirty	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	9
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/002_2017062202.wav	15.550022675736962	685756	39.60002267573696	1746361	001_2017062202	welcome to the meeting this after in we have three items and very interesting ones first we welcome the ecr beard the un special representative of the secura general for international migration some of you will have heard her excellent speech yesterday at the migration conference and the	welcome to the meeting this after in we have three items and very interesting ones first we welcome lheesrbeard the un special representative of the secura general for international migration some of you will have heard her excellent speech yesterday at the migration conference and the	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	4
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/003_2017062202.wav	39.60004535147392	1746362	65.15004535147392	2873117	002_2017062202	she is going to present the current situation and developments on the global compact for safe and orderly migration also with us on the panel we have representatives of european external action service mrs ni in welcome back who has made excellent contributions more recently on the committee and for the international organisation for migration mr ambrosi	she is going to present the current situation and developments on the global compact for safe and orderly migration also with us on the panel we have representatives of european external action service mrs nisin welcome back who has made excellent contributions more recently on the committee and for the international organisation for migration mr ambrose	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	2
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/004_2017062202.wav	65.15006802721088	2873118	92.60006802721088	4083663	003_2017062202	are also present and they will take part in this exchange of views the un general assembly hosted a high level summit a new city on un nineteen september some of our colleagues mep colleagues with there and we address the topic of large scale movements of refugees and migrants the summit adopted a proposal for a better international response to those challenges and of course that was called a new declaration	are also present and they will take part in this exchange of views the un general assembly hosted a high level summit a new city on nineteen september some of our colleagues mep colleagues with there and we address the topic of large scale movements of refugees and migrants the summit adopted a proposal for a better international response to those challenges and of course that was called a new declaration	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	3
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/005_2017062202.wav	92.60009070294785	4083664	108.25009070294784	4773829	004_2017062202	the parliament of course was present at the high level summit and i think very well represented with that had a hot delegation of three members ms wik from ms rosa maria grafanantanunhoustan and mserlishline	the parliament of course was present at the high level summit and i think very well represented with that had a hot delegation of three members ms wik from m roza maria grafanantanunhoustan and mserlishline	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	2
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/006_2017062202.wav	108.2501133786848	4773830	136.1001133786848	6002015	005_2017062202	there is a lot more i could say about the compact but i think it is better to hear from lees arbour and have a debate because we have had a number of report backs from the colleagues who were at the new york summit so without further delay i am going to ask our special guest les arbour the un special representative the secret general to	there is a lot more i could say about the compact but i think it is better to hear from lees arbur and have a debate because we have had a number of report backs from the colleagues who were at the new york summit so without further delay i am going to ask our special guest les ar bord the un special representative the secret general to	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	4
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/007_2017062202.wav	136.10013605442177	6002016	164.05013605442176	7234611	006_2017062202	de contribution and your very welcome pa president thank you very much indeed in a great pleasure for me to participate in this discussion on the process to develop the global compact on migration i am very grateful to the european parliament libe committee for this generous invitation and i also thank all the penalist for being here today for what i hope is going to be	a contribution and your very welcome president thank you very much indeed in a great pleasure for me to participate in this discussion on the process to develop the global compact on migration i am very grateful to the european parliament libe committee for this generous invitation and i also thank all the penalist for being here today for what i hope is going to be	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	5
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/008_2017062202.wav	164.05015873015873	7234612	184.20015873015873	8123227	007_2017062202	a frank and fruitful discussion migration is the story of humanity since its earliest times it is the story of some of us in this room and its the story of many other women men and children who have sought new horizons have sought safety and dignity abroad de	a frank and fruitful discussion migration is the story of humanity since its earliest times it is the story of some of us in this room and its the story of many other women men and children who have sought new horizons have sought safety and dignity abroad	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	3
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/009_2017062202.wav	184.2001814058957	8123228	206.35018140589568	9100043	008_2017062202	this experience is a familiar want to many europeans it would be presumptuous of me however to speak to you about your story i am here to listen and i stand ready to engage in a constructive dialogue i want however to acknowledge that genuine challenges that this issue presents for countries and communities worldwide	this experience is a familiar want to many europeans it would be presumptuous of me however to speak to you about your story i am here to listen and i stand ready to engage in a constructive dialogue i want however to acknowledge that genuine challenges that this issue presents for countries and communities worldwide	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	0
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/010_2017062202.wav	206.35020408163265	9100044	222.20020408163265	9799029	009_2017062202	the precarious movement of people that we are witnessing around the globe including in central america in south east asia in africa and in and around the borders of europe have generated very serious concerns	the precarious movement of people that we are witnessing around the globe including in central america in south east asia in africa and in and around the borders of europe have generated very serious concerns	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	0
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017062202/011_2017062202.wav	222.20022675736962	9799030	241.35022675736963	10643545	010_2017062202	it is increasingly clear that that the lack of a principled and collaborative migration governance at the global regional and national levels is largely responsible for the present situation what we are facing is less a migration crisis	it is increasingly clear that that the lack of a principled and collaborative migration governance at the global regional and national levels is largely responsible for the present situation what we are facing is less a migration crisis	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017062202.wav	0
