	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text_with_hotwords	inferred_text_without_hotwords	motherfile	dist
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/001_2018032002.wav	0.0	0	24.65	1087065	000_2018032002	mera the next point on the agenda is the presentation of the annual report two thousand and two thousand and seventeen by the european data protection supervisor mr juan butareli welcome mr vtreli	mthrdthe next point on the agenda is the presentation of the annual report two thousand and two thousand and seventeen by the european data protection supervisor mr juvanbutareli welcome mr vtreli	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	6
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/002_2018032002.wav	24.650022675736963	1087066	48.60002267573696	2143261	001_2018032002	mr ppe this is the first annual report presented by the holders of the current mandate of the edps as well as now the edps as advisor to the ep has been avi able to this committee and to all members to provide in former and former advice on data protection related issues	mpredent this is the first annual report presented by the holders of the current mandate of the edps as well as now the edps as advisor to the ep has been avi able to this committee and to all members to provide in former and former advice on data protection related issues	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	6
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/003_2018032002.wav	48.60004535147392	2143262	69.55004535147393	3067157	002_2018032002	like on interoperability digital content directive and ep privacy we also know that the edps has also been preparing to provide the secretaria to the european data protection board edpb the former article twenty nine working part	like on interoperability digital content directive and ep privacy we also know that the edps has also been preparing to provide the secretaria to the european data protection board edpb the former article twenty nine working part	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	0
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/004_2018032002.wav	69.55006802721088	3067158	92.40006802721088	4074843	003_2018032002	in may with the entry into application of the gdp gdp and mr butareli you will explain forward these aspects and overs in your presentation you have the floor for fifteen minutes maximum please	in may with the entry into application of the gdp gdp and mr butareli you will explain forward these aspects and overs in your presentation you have the floor for fifteen minutes maximum please	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	0
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/005_2018032002.wav	92.40009070294785	4074844	113.55009070294784	5007559	004_2018032002	go money every badi thank you madam preen for this generous introduction honourable members let me say that it is a privilege again to present you the edps rape for last year two thousand and seventeen this is our fourteen nor raport and it marks in one sense	go money every badi thank you madam preside for this generous introduction honourable members let me say that it is a privilege again to present you the edps rape for last year two thousand and seventeen this is our fourteen nor raport and it marks in one sense	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	4
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/006_2018032002.wav	113.55011337868481	5007560	129.4001133786848	5706545	005_2018032002	at the end of an era when i come to present to you our two thousand and eighteen anna report will giving account not only for the edps but also as you mentioned for the secretariat of the european data protection on board	at the end of an era when i come to present to you our two thousand and eighteen an report will giving account not only for the edps but also as you mentioned for the secretariat of the european data protection on board	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	2
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/007_2018032002.wav	129.40013605442178	5706546	146.05013605442176	6440811	006_2018032002	a lot of our energy has been spent to ensure that the new european union body the board will have everything it needs from they want to provide a ward class service to individuals and control arne	a lot of our energy has been spent to ensure that the new european union body the board will have everything it needs from they want to provide a ward class service to individuals and control ers	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	3
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/008_2018032002.wav	146.05015873015873	6440812	173.40015873015872	7646947	007_2018032002	success will rest not only on the consistency mechanism but on the good will and collegiality of the members of the board we would like to reach consensus on how to deal with particularly cross border cases on how to provide practical advice to controllers of course sanctions will come but i illustrate the cultural differences between the twenty nine regulators around the table	success will rest not only on the consistency mechanism but on the good will and collegiality of the members of the board we would like to reach consensus on how to deal with particularly cross border cases on how to provide practical advice to controllers of course sanctions will come but i illustrate the cultural differences between the twenty nine regulators around the table	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	0
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/009_2018032002.wav	173.4001814058957	7646948	190.9501814058957	8420903	008_2018032002	we have to speak increasingly with one voice particularly today against the latest developments concerning the use of certain personal data for online when manipulation and micro targeting	we have to speak increasingly with one voice particularly today against the latest developments concerning the use of certain personal data for online when manipulation and micro targeting	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	0
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2018032002/010_2018032002.wav	190.95020408163265	8420904	210.00020408163266	9261009	009_2018032002	and give legal certainty to citizens and markets these exasting cycle of reform for the digital era is coming to a close we are going to see now how the rules so carefully debated and adopted in this parliament will play out on the ground for the first generation of digital natives	and give legal certainty to citizens and markets these exasting cycle of reform for the digital era is coming to a close we are going to see now how the rules so carefully debated and adopted in this parliament will play out on the ground for the first generation of digital natives	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2018032002.wav	0
