	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text	motherfile
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/001_2017013101.wav	0.0	0	28.95	1276695	000_2017013101	leagues if you want to take your so good morning colleagues were starting a little bit later this morning but is very understandable we have been so busy of late understandable to start a little bit late	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/002_2017013101.wav	28.95002267573696	1276696	50.90002267573696	2244691	001_2017013101	some mornings so welcome this morning and we have a nice first agenda item to report just point nine and it is the lib adhol delegation to the un high level meeting on refugees and migrants which took place in new york between eighteen and twenty september	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/003_2017013101.wav	50.90004535147392	2244692	78.65004535147392	3468467	002_2017013101	president colleagues might remember that this adhoc delegation participated at the high level summit on refugees and migrants i think it was significant that the libe committee members in particular did this represented as really well something that was important and significant ms sicerelya wikstrum was head of the delegation and early shline	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/004_2017013101.wav	78.65006802721088	3468468	100.30006802721088	4423233	003_2017013101	also represented us i think they are both here to report back and i think as mrs von tan honstine she is not here but there are two labeling members are here o so the participation in the summit as we all know was a very successful and it contribute to to the debate that led to the approval of the your declaration on	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/005_2017013101.wav	100.30009070294784	4423234	128.15009070294784	5651419	004_2017013101	a proposal signed by one hundred and ninety three un members which has opened a process to adopt two global compact one on migrants and another on refugees by two thousand and eighteen taking into account of the importance of this process were very happy to have invited representatives from the external action advisory service and eco to updatas on the process that slotinudzon and alhessscopeofa	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/006_2017013101.wav	128.1501133786848	5651420	143.4001133786848	6323945	005_2017013101	from eco and bor welcome to both of view so first we are going to listen to the report of the mission from the head of the delegation socerely a wiktrum and then the representatives of the eeas and eco	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/007_2017013101.wav	143.40013605442178	6323946	162.45013605442176	7164051	006_2017013101	so first serlyifyou want to give you thank you claude thank you and good morning to all of you there are not so many members present in the room hopefully some of them are watching this in their offices when doing different different	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/008_2017013101.wav	162.45015873015873	7164052	179.30015873015873	7907137	007_2017013101	topics for today preparing for meetings etcetera so i want take your time we could have this dialogue between ourselves ali and i to come back to the good days and the good nice memories that we have from our delegation visit to new york	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/009_2017013101.wav	179.3001814058957	7907138	197.2501814058957	8698733	008_2017013101	it was indeed a successful one we as as the european parliament resein speaking time and and we were addressed by various ministers and heads of states and it was all in all a very good and successful visit	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/010_2017013101.wav	197.25020408163266	8698734	225.90020408163267	9962199	009_2017013101	what we should learn here from the new ro declaration that was signed from by all one hundred and ninety three member states is that we are always talking in this respect when talking about refugees we are talking only about refugees or we talk about legal migration but it is very seldom that we have this let us a holistic approach there was a report by roberta met sola and cecil kengo	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/011_2017013101.wav	225.9002267573696	9962200	245.7502267573696	10837585	010_2017013101	holistic approach to migration and this is exactly what they are trying to do in the new work declaration focusing on refugees and migrants and the element in the declaration that i personally feel that we are lacking very often is the participation and the inclusion of civil society	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
11	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/012_2017013101.wav	245.75024943310657	10837586	265.30024943310656	11699741	011_2017013101	of the business sector of civil society and we should really when we are speaking about integration not only focus on legal terms that for us it falls on the scope of subsidiarity the whole process of integration but in order to manage	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
12	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/013_2017013101.wav	265.30027210884356	11699742	280.6502721088435	12376677	012_2017013101	big flows or lower flows of refugees and also legal migrants that are arriving and to integrate them into society we can never achieve that by legislation we need to do it together with all stakeholders in society	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
13	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/014_2017013101.wav	280.6502947845805	12376678	301.1002947845805	13278523	013_2017013101	so that is in my view what is really fruitful and helpful for us to actually focus a bit on inspired by the newer declaration we participated early myself androsa together with the secretariat in various round tables	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
14	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/015_2017013101.wav	301.10031746031746	13278524	325.4503174603175	14352359	014_2017013101	and had fruitful discussions also in related events not only in the un but also together with the business sector for instance and it was i remember when i am not trying to think back what as what was interesting there well for example the following morning after i gay my speech there was this meeting with yorgshorash	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
15	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/016_2017013101.wav	325.4503401360544	14352360	353.4003401360544	15584955	015_2017013101	what the same day had a big article in europe times where he had given a very big donation for businesses to open up opportunities for refugees as trainees or sas years and and the reporter in the seminar that i attended ask him why did to do this and he looked at them in astonishment is said because i am a refugee	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
16	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/017_2017013101.wav	353.4003628117914	15584956	375.8503628117914	16575001	016_2017013101	maybe these things can only happen in the us but at least we should in europe be inspired by them so i do not want to go through the whole mission report it is here for everybody to read but i would like to underline that that the participation and the contribution of this institution was highly appreciated	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
17	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/018_2017013101.wav	375.85038548752834	16575002	400.5003854875283	17662067	017_2017013101	and and a lot of different people came to essence that we look forward to you participating next time when something similar whit will happen so now i only encourage the eco and the european external action service to come to us so that we together can actually move this and rock the both to little bit because it is needed also in europe	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
18	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/019_2017013101.wav	400.5004081632653	17662068	428.7504081632653	18907893	018_2017013101	thank you very much thanks again elly for your good cooperation and all the fund that we had together thank you very much to see and of our i think you apply just towards the end against the backropbhat is currently happening of course in the united states and internationally it is important that we were represented in new work for this important summit so thank you early would you like to say a few works just ad to vote	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
19	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/020_2017013101.wav	428.75043083900226	18907894	453.20043083900225	19986139	019_2017013101	later if you want please thank prein thanks celia for the very good report i confirm that it was an important moment because it was the very first summit on the movement of refugees and migrants at a un level we also have to say that	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
20	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/021_2017013101.wav	453.20045351473925	19986140	481.45045351473925	21231965	020_2017013101	the initial idea was to have a stronger and immediate commitment on the global compact that was impossible because of the lack of political will something that we know very well in the european union so there was this compromise who work in the next two years two reach consensus on the global compact on refugees and the global compact on migrants i have to say it was a very important occasion for us for	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
21	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/022_2017013101.wav	481.4504761904762	21231966	506.8004761904762	22349901	021_2017013101	for us to intervene sesedial a very good intervention by explaining what is the position of the european parliament and to make it clear that at least in hear we are pushing for this holistic approach following the report of kenglmetzoliin the others resolution that we approved asking for the common european solution that we desperately need in terms of solidarity and equal share of responsibility among member states	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
22	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/023_2017013101.wav	506.80049886621316	22349902	523.1504988662132	23070937	022_2017013101	the fact on which the summit was organised is that there is a new constantness of the fact that eighty six of all refugees and migrants or refugees are hosted in developing countries today	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
23	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/024_2017013101.wav	523.1505215419501	23070938	539.1005215419501	23774333	023_2017013101	so this means that it is not only a european problem the one of better shamed responsibility on welcoming refugees but it is a global problem and what i fought and what they said to all the actors that we met in new york is that	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
24	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/025_2017013101.wav	539.1005442176871	23774334	562.550544217687	24808479	024_2017013101	how can we be credible in asking for a better sharing our responsibility at the global level if we are not capable to lead by example within our european union that is a problem for us and i wanted to add something before listening to ec on the eas i am very worried about what is happening in the us	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
25	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/026_2017013101.wav	562.550566893424	24808480	580.200566893424	25586845	025_2017013101	with the so called muslim ban the american administration was one of the most active during the process of the new year declaration it was another some men organised by obama to have commitments in terms of resettlement	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
26	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2017013101/027_2017013101.wav	580.200589569161	25586846	604.050589569161	26638631	026_2017013101	you can understand that the new declaration is now at risk if we see the new american president banding the entry of syrian refugees into the country so we have to be very worried than we have to put pressure and the european union has to have an even stronger role now to defend and to	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2017013101.wav
