	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text_with_hotwords	inferred_text_without_hotwords	motherfile	dist
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/001_2015012202.wav	0.0	0	26.45	1166445	000_2015012202	mr president eu the plenary meeting of the consultative forum is an anuale event that brings together civil society organisations academic members of the judiciary eu institutions eu agencies and member states to look at the experience of the past year of working together within the agencies	mr president the plenary meeting of the consultative forum is an anuale event that brings together civil society organisations academic members of the judiciary eu institutions eu agencies and member states to look at the experience of the past year of working together within the agency	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	6
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/002_2015012202.wav	26.45002267573696	1166446	54.90002267573696	2421091	001_2015012202	the first also consultative forum took place in brussels on eleven and twelve december we invite now doctor be the agencies executive director and also the chair of the alto consultative forum to report the back to the committee on this event but if you do not man we try to combine this point with the presentation of the work programme two thousand and fifteen by de robert executive director	the first also consultative forum took place in brussels on eleven and twelve december we invite now doctor be the agency executive director and also the car of the also consultative forum to report the back to the committee on this event but if you do not man we try to combine this point with the presentation of the work programme two thousand and fifteen by dr roberti executive director	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	8
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/003_2015012202.wav	54.90004535147392	2421092	80.75004535147393	3561077	002_2015012202	of the id agency then may be the after two cagentation of dhectorbeterwe will have a time for questioning from the mp de you have madam president honourable	of the id agency then may be the after two calgentation of dhectorbeterwe will have a time for questioning from the mp der you have madam president honourable	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	2
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/004_2015012202.wav	80.75006802721089	3561078	105.80006802721088	4665783	003_2015012202	since yesterday to be ana mif and to address you on the generations that just mentioned by the chair the work programme and the consultative forum that we had in the tartan of last year but especially the plenary that took place in december of last year	since yesterday to be inyarmifd and to address you on the generations that just mentioned by the chair the work programme and the consultative forum that we had in the total of last year but especially the plenary that took place in december of last year	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	7
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/005_2015012202.wav	105.80009070294784	4665784	127.85009070294785	5638189	004_2015012202	allow me to be short as you have always leaved the work programme and allow me to take the opportunity to say a few of the general lines or if you wish show the filotofhy behind what we are doing	allow me to be short as you have always leaved the work programme and allow me to take the opportunity to say a few of the general lines or if you wish show the filotofhy behind what we are doing	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/006_2015012202.wav	127.85011337868481	5638190	145.3001133786848	6407735	005_2015012202	it was maybe uncommon to look at a common european asylum listen in the same way as i will now say because we are always looking at were to improve but if we look at it from little distance than	it was maybe uncommon to look at a common european asylum listen in the same way as i will now say because we are always looking at were to improve but if we look at it from little distance than	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/007_2015012202.wav	145.30013605442176	6407736	173.35013605442177	7644741	006_2015012202	the european asylum system is a common system and is a success to crate a very unssesfectivesourceinthithe american director general of the international organisation for migration recently sand that europe too by far the best stand at it goes on asylum in the world that is not something to	the european asylum system is a common system and is a success to crate a very unssesfectivesourceinthithe american director general of the international organisation for migration recently sand that europe too by far the best stand at it goes on asylum in the world that is not something to	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/008_2015012202.wav	173.35015873015874	7644742	188.80015873015873	8326087	007_2015012202	left now and to be happy but it is certainly also with older remarks that can be made something to keep in mind as there is an agency an operational agency that is	left now and to be happy but it is certainly also with older remarks that can be made something to keep in mind as there is an agency an operational agency that is	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/009_2015012202.wav	188.8001814058957	8326088	209.5501814058957	9241163	008_2015012202	working in this area and specifically in the implementation of the common european asylum system as such we are an instrument of european sty we are organising that	working in this area and specifically in the implementation of the common european asylum system as such we are an instrument of european sty we are organising that	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/010_2015012202.wav	209.55020408163264	9241164	230.60020408163265	10169469	009_2015012202	mr there three levels on which we are concentrating let me first take the level of the case work ar there asylum official in the member states and how are we going to attribute	there three levels on which we are concentrating let me first take the level of the case work ar there asylum official in the member states and how are we going to attribute	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	3
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/011_2015012202.wav	230.60022675736963	10169470	250.2502267573696	11036035	010_2015012202	to try to harmonise the operational level in the different member states thirty member states associated countries also a part of our remit and even too more might probably will join soon	to try to harmonise the operational level in the different member states thirty member states associated countries also a part of our remit and even too more might probably will join soon	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
11	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/012_2015012202.wav	250.25024943310657	11036036	266.10024943310657	11735021	011_2015012202	that is a huge area and a huge number of organisations and to get them all on the same line to implement and to comply with the legislation that du as parliament has decided on our	that is a huge area and a huge number of organisations and to get them all on the same line to implement and to comply with the legislation that dul as parliament has decided on our	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	1
12	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/013_2015012202.wav	266.1002721088435	11735022	282.25027210884355	12447237	012_2015012202	approach is to start at a very beginning to start with the same training for all the asylum officials in the european union if you got it the fame school probably you learn to speak the framework	approach is to start at a very beginning to start with the same training for all the asylum officials in the european union if you got it the fame school probably you learn to speak the framework	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
13	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/014_2015012202.wav	282.2502947845805	12447238	300.4002947845805	13247653	013_2015012202	technical language you learn to to speak the same approach and to create in the end a common culture and if i tell you that we just pass the fix zero three hundred asylum officials that we have trained so far	technical language you learn to to speak the same approach and to create in the end a common culture and if i tell you that we just pass the fix zero three hundred asylum officials that we have trained so far	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
14	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/015_2015012202.wav	300.40031746031747	13247654	324.9503174603175	14330309	014_2015012202	which is in three years quite a success if you keep in mind that the total number of asylum officials in the eu we do not know de elect number because is moving target in a certain way it supposed to be around the seven zero so we reach out quite effectively to that after sco you have to work	which is in three years quite a success if you keep in mind that the total number of asylum officials in the eu we do not know de elect number because is moving target in a certain way it supposed to be around the seven zero so we reach out quite effectively to that after sco you have to work	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
15	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/016_2015012202.wav	324.9503401360544	14330310	352.50034013605443	15545265	015_2015012202	so we provide and we are stating just now i finalised last week the first instrument practical tools for the data day work to support decades workers be asylum officials in the day to day work to see that they really followed the procedures that they really followed the law the legislation which which they have to implement thirdly we provide common country of	so we provide and we are stating just now i finalised last week the first instrument practical tools for the data day work to support decades workers be asylum officials in the day to day work to see that they really followed the procedures that they really followed the law the legislation which which they have to implement thirdly we provide common country of	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
16	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/017_2015012202.wav	352.5003628117914	15545266	378.95036281179136	16711711	016_2015012202	couraging information essential for each as island decision is the information the assessment of the situation in the countries of origin and already on a number of important countries of origin we have made countries of origin reports and we are working on even more and to reach the top ten of the eu countries of origin	couraging information essential for each as island decision is the information the assessment of the situation in the countries of origin and already on a number of important countries of origin we have made countries of origin reports and we are working on even more and to reach the top ten of the eu countries of origin	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
17	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/018_2015012202.wav	378.95038548752837	16711712	408.60038548752834	18019277	017_2015012202	finally on the level of case workers we work on joint approach on joint processing we have the first pilots last year of joint processing we will step up this year very soon and of this months be spat the next pilots vulnerbilibity assessment asylum decisions asylum applications very important to jointly commonly built the practice in europe	finally on the level of case workers we work on joint approach on joint processing we have the first pilots last year of joint processing we will step up this year very soon and of this months be spat the next pilots vulnerbilibity assessment asylum decisions asylum applications very important to jointly commonly built the practice in europe	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
18	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/019_2015012202.wav	408.6004081632653	18019278	435.9504081632653	19225413	018_2015012202	we also focus on the level of member states member states as member states to shelve member state as asylum institutions providing them with common information and common analysis of the tremps providing them with a common support framework and common tools to implement the asylum aqui and	we also focus on the level of member states member states as member states to shelve member state as asylum institutions providing them with common information and common analysis of the tremps providing them with a common support framework and common tools to implement the asylum aqui and	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
19	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/020_2015012202.wav	435.95043083900225	19225414	460.90043083900224	20325709	019_2015012202	to stimulant and facilitate the solidarity and responsibility of member states as i said as an instrument of solidarity solidarity is not only about relocation about distribution solidarity is about what is the whole instrument a whole took it of common instruments	to stimulant and facilitate the solidarity and responsibility of member states as i said as an instrument of solidarity solidarity is not only about relocation about distribution solidarity is about what is the whole instrument a whole took it of common instruments	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
20	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/021_2015012202.wav	460.90045351473924	20325710	490.65045351473924	21637685	020_2015012202	and in that tens training for example is a remarkable point of solidarity we use member states experts member states train us to train in other member states to train other officials in the operational level we have a huge number of asylum experts from member states that are working in at this moment for example bulgaria italy cyprus and greece	and in that tens training for example is a remarkable point of solidarity we use member states experts member states trainers to train in other member states to train other officials in the operational level we have a huge number of asylum experts from member states that are working in at this moment for example bulgaria italy cyprus and greece	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	2
21	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015012202/022_2015012202.wav	490.6504761904762	21637686	512.3004761904762	22592451	021_2015012202	finally at the level of eu institutions the eu level itself the result and the way in which we try to support at is by common operations at eu level both at the total level so having regular annual schemes of support	finally at the level of eu institutions the eu level itself the result and the way in which we try to support at is by common operations at eu level both at the total level so having regular annual schemes of support	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015012202.wav	0
