	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text	motherfile
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/001_2015101301.wav	0.0	0	27.25	1201725	000_2015101301	mr president lag we were working for our final panels to us now here i would like to nik at an announcement which is being which is concurrent with an email which is going to all of your officers now which is that the meeting of afternoon will begin at fifteen and thirty and not fifteen hundred	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/002_2015101301.wav	27.25002267573696	1201726	54.30002267573696	2394631	001_2015101301	as jus repeat that the meeting of absent will begin at fifteen thirty and not fifteen hundred there will be an email going to all of your officcers additionally the date vote will now be porsponed and till next monday and that will take play for next monday at seventeen thirty and again a may will be font to all of your offices to please indicate to	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/003_2015101301.wav	54.300045351473926	2394632	82.05004535147393	3618407	002_2015101301	your colleagues that the meeting i will not be ex fifteen hundred but fifteen and thirty so arrive puntuly at to meeting at fifteen thirty for votes this should help colleagues with the various arrangements to a number of colleagues quite a number of colleagues who could not make the fifteen hundred	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/004_2015101301.wav	82.05006802721088	3618408	100.00006802721089	4410003	003_2015101301	meeting so we have than our best to now arrange things and also to respond the dat you got until the next monday looking and a male has been tent to all the offitors now but we ave ensure that everyone is aware	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/005_2015101301.wav	100.00009070294784	4410004	120.35009070294785	5307439	004_2015101301	we now have a popanogoso colleagues for the delay we can now begin it is important hearing investigation of the li transportation and illegal detention of prisoners in european countries by the cia hearing this morning	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/006_2015101301.wav	120.35011337868481	5307440	140.20011337868482	6182825	005_2015101301	pes on the podiammelspegil m ralikredescu from the centre for european policy studies mivajli who was bee member of the delegation to romania from our committee and mcroftand lack from a view of investigative journalism	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/007_2015101301.wav	140.20013605442176	6182826	160.95013605442176	7097901	006_2015101301	must public hearing of course it is important and it builds on the work of this committee and of course on an important issue the investigation of what happened of the allegations of allege transportation and illegal detention of prisoners in european countries but the ci	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/008_2015101301.wav	160.95015873015873	7097902	187.30015873015873	8259937	007_2015101301	the parliament has repeatedly made condemnation i attention an extraordinary rendition programme and i referred to our resolutions of fourteen february eleven september two thousand and twelve attend of october two thousand and thirteen and two thousand and fifteen many colleagues he are president will have been involved in the important hi rendition inquiry	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/009_2015101301.wav	187.3001814058957	8259938	214.5501814058957	9461663	008_2015101301	in particular mr kilo and others we today are following up this important investigation as set out by our coordinators and i do not want to delay matters any for the i want to move strict to the panel would have been delayed some what this morning so i want to get straighten to the morning session where we will	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/2015101301/010_2015101301.wav	214.55020408163264	9461664	244.20020408163265	10769229	009_2015101301	update the committee on where we are on this important investigation both from the us side that most importantly from the eu side so we begin our morning session with the presentation of the research paper by else gild and reucarradescy from seps so colleagues if you want to take the fore thank you for being here	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/2015101301.wav
