	Sound_file	Length (s)	Transcription	nr_words	words per second	identifier	hotwords	inference
0	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/016_20140701.wav	22	I would like to propose on behalf of the snd group our colleague claude moraes as chair of this committee, miss zippal, claude moraes our colleague from snd is nominated, any other nominations	33	1.5	20140701	nan	mr i would like to propose on behalf of the sd group our colleague clod morals as the chair of this committee ms zip clodmorarescolleague from sd was nominated any other nominations
1	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/017_20140701.wav	27	no, I ask then the nominated candidate whether he agrees to being nominated, I accept, thank you claude, I state that the candidate fulfilled the necessary preconditions concerning the declaration of financial interests and is full member of this committee	40	1.48148148148148	20140701	nan	mreiddentniaskthenthenominated candidate whether he agrees to being nominated i state that the candidate fulfils the necessary preconditions concerning the declaration of financial interests and his full member of this committee
2	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/018_20140701.wav	15	and as there is only one candidate, I would like to suggest to proceed with the election of the chair by acclamation, so I have to ask do you agree that it should be by acclamation and you don’t want (…), thank you	43	2.86666666666667	20140701	nan	and as there is only one candidate i would like to suggest to proceed wat the election of the chair by acclamation so i have to ask you do you agree that it should be by acclamation and you do not want singnatal thank you
3	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/019_20140701.wav	23	so lets do it by acclamation, congratulation mister moraes, I declare the candidate elected by acclamation and ask the new chair to take seat	24	1.04347826086957	20140701	nan	so let us do it by acclamation congratulations mr morris i declare the candidate elected by acclamation and ask the new chair to take
4	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/020_20140701.wav	28	thank you very much colleagues	5	0.178571428571429	20140701	nan	youverymuclege
5	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/021_20140701.wav	16		0	0.0	20140701	nan	
6	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/022_20140701.wav	20	first of all, thank you kinga and thank you colleagues for this huge privilege to be elected chair of the libe committee, before I proceed to the election of vice chairs, which I don’t want to delay because we have	40	2.0	20140701	nan	present first of all thank you kinga and thank you colleagues for this huge privilege to be elected chair of the libe committee before i proceed to the election of the vicechairs which i do not want to delay because we have
7	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/023_20140701.wav	25	we have, I feel rather, sorry, I feel rather emotional to be become chair of the libe committee I would say to the existing members, some of you have paid me the honor of coming today, you know that this committee is one of the most important committees of the legislature, of the mandate, we deal with the, values issues of this house	63	2.52	20140701	nan	mr president we have feel rather sorry i f you rather emotional to become chair of the libe committee i would say to the existing members some of you have paid me the honour of coming today you know that this committee is one of the most important committees of the legislature of the mandate we deal with the we deal with the values issues of this house
8	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/024_20140701.wav	26	those existing members I’m looking at today have dealt with some of the most the important legislation this house will deal with, of course the economy is the most important thing, we all know that, but the values, because we are a parliament of values as well, is very much dealt with in the civil liberties justice and home affairs committee, data, asylum and immigration, anti discrimination work,	68	2.61538461538462	20140701	nan	those existing members who am looking at today have dealt with some of the most important legislation this house will deal with of course the economy is the most important thing we all know that but the values because we are a parliament and values as well is very much dealt with in the civil liberties justice and home affairs committee data asylum and immigration anti discrimination work
9	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/025_20140701.wav	21	anti terrorism, the whole panoply of legislation which is so important to us, so this is a huge privilege and honor, and I want to thank you for this honor today, I would like to proceed now to the election of the vice chairs, ehm first of all	48	2.28571428571429	20140701	nan	anti terrorism the whole plan in play of legislation which is so important to us so this is a huge privilege on honour and i want to thank you for this honour today i would like to proceed now to the election of the vice chairs first of all
10	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/008_20140714.wav	30	(…) yes, thank you very much, I am vicky maeijer, chair, I am a member of the freedom party, at the moment non attached, in the european parliament and I objected by email to the fact that I am not entitled apparently to put a question this evening I’d like that objection to be appropriately registered because I think as non attached members we have every right to have our voice heard	72	2.4	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	ms ms president avi ms i am a member of the freedom party at the moment non attached in the european parliament and i objected by email to the fact that i ms not entitled apparently to put a question this evening i would like that objection to be properly registered because i think is non attached members we have every right to have a voice heard president
11	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/009_20140714.wav	17	okay, thank you for putting your objection so politely and effectively, that’s noted and we will move on to the first statement of mister slobodan, thank you mister chairman, I would also	32	1.88235294117647	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	ms ok thank you for putting your objection so politely in effectively that is noted and we will move on to the first statement from mr spobedamrpresident i would also ms
12	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/010_20140714.wav	20	I would also, I would also like to greet the members of the JURI committee, LIBE committee and the FEMM committee, but first of all also madam Martine Reicherts the comissionary designate	32	1.6	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	i would also i would also like to agree the members of the juri committee libe committee and the form committee but first of also ms martine rights the commissioner designate
13	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/011_20140714.wav	19	I would like to stress that the cooperation between our committees is very important because there are areas of common interest among us, there are also areas of responsibility of the commissional designate	33	1.73684210526316	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	ms i would like to stress that the cooperation between our committee is very important because there are areas of common interest among us there are also areas of responsibility of the commissioner designate
14	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/012_20140714.wav	15	that overlap with the field of, of responsibility of the JURI committee, namely the field of civil justice including family law and private international law	25	1.66666666666667	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	that overlap with the field of responsibility of the juri committee namely the field of civil justice including family law and private international law ms
15	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/013_20140714.wav	21	and these are the areas that the JURI members are going to focus in their questions, I am sure madam that after your election the cooperation with yourself is going to be as fruitfull as it was in the past with madam Reding when she was	46	2.19047619047619	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	and these are the areas that the juri members are going to focus in their questions i ms sure ms that after election the cooperation with yourself is going to be as fruitful as it was in the past with ms reding when she was
16	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/014_20140714.wav	20	in office, being short of time let me just pass the floor to madam Garcia Perez from the FEMM committee thank you, thank you very much chairman, good afternoon to all colleagues, and of course	35	1.75	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	in office being short of time let me just pos the floor to ms ms peres from the femm committee thank ms president president aftentoallcolleagues and of course
17	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/016_20140714.wav	28	it is one that is, that characterizes all European policy making and we believe that gender equality is absolutely fundamental as is fighting against gender based violence and several different dossiers such as maternity leave and the dossier on women on the the boards of (…) is, are all all extremely fundamental, the difficulties that women are fighting	58	2.07142857142857	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	it is one that is that characterises all european policy making and we believe that gender equality is absolutely fundamental as is fighting against gender based violence and several different dossiers such as maternity leave and the dossier on women on the boards of companies are all extremely fundamental the difficulties that women are fighting
18	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/017_20140714.wav	21	in these times of crisis, particularly matters relating to sexual and reproductive health and rights, these are key issues for women and we believe the various questions that the coordinators will reflect that over the course of this afternoon, I won’t take up any more time, lets move on to the speakers from the different committees that will have the floor, thank you	63	3.0	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	in these times of crisis particularly matters relating to sexual and reproductive health and rights these are key issues for women and we believe that the various questions that the coordinated bring will reflect that over the course of this afternoon i will not take up any more time let us move on to the speakers from the different committees that will have the floor ms ms ms
19	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/018_20140714.wav	17	thank you very much, Rachi, and madame Reichert, we now have the opening of the questions, you are going to be making an initial statement, for the LIBE committee obvious fundamental rights portfolio is extremely important and you are gonna make a 	43	2.52941176470588	20140714	juri|fundamental|femm|reicherts|ms|chairs|weiss|martine|rights|louise|libe|justice	ms thank you very much president madam rica we now have the opening of the questions you are going to make an initial statement and for the libe committee of the fundamental rights portfroliwas extremely important and you gin to make ms
20	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/064_20140723.wav	17	well, I mean, we are talking  twenty nine percent or one percent, that doesn’t really mean a lot to me, I’d really like to understand a little bit more about it, and I also would like to know what kind of effects these kind of controls have.	48	2.82352941176471	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	le eu eu talk about twenty nine ec or one ec le does no really mean le lot to eu le really like to understand a little bit more about it and i also want to know what kind of affects these controls have us
21	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/065_20140723.wav	25	for a few years I was also an employer, I was the director of a company and the quantity of the inspections doesn’t necessarily give you an idea of whether people are working legally or illegally, I’d like to know how these controls actually take place	46	1.84	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	le for a few years i was also an employer i was a director of accompany and the quantity of the inspections does not necessarily give you an idea of whether people are working legal or illegally eu i would le to know how these controls actually take le
22	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/066_20140723.wav	21	 misses bjork, well on behalf of the GUE ngl group	11	0.523809523809524	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	eu home le on behalf of the go ngl group
23	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/067_20140723.wav	17	we feel that the background of this directive is very difficult for us, the legal basis, means, is about fighting illegal immigration as it’s put	25	1.47058823529412	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	eu we feel that the background to this directive is very difficult for us the legal basis means it is about fighting illegal immigration as it us put le us
24	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/068_20140723.wav	21	I am glad that the, inside the directive we are strengthening migrants rights, but when the commission talks about the various challenges that exist in implementing the directive, the problem is precisely in the area of workers rights	38	1.80952380952381	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	i am glad that the inside the directive we are strengthening migrants rights but when the commission talks about the various challenges that exist in implementing the directive the problem is precisely in the area of workers rights eu le
25	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/069_20140723.wav	16	we have contacted a number of organizations that work in, with people in a similar situation and they say that the risks are great, first of all, that you get punished by your employer as a result.	37	2.3125	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	eu eu have contacted a number of organisations that work in with people in the similar situation and they say that the risks afet great first of all that eu le get punished by eu employer as a result eu eu
26	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/070_20140723.wav	22	that you are exposed to ehm, to imprisonment or deportation and you are also expected to ehm, wel you might be in the danger of being handed in by your employer	31	1.40909090909091	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	eu that you are exposed to to imprisonment or deportation and you are also expected to le you might be in a danger of being handed in by your employer eu us
27	/data/voshpde/pipeLine/evaluation/transcriptions/manual_transcriptions_soundfiles/071_20140723.wav	17	now, it has been very difficult for some of these workers to get unpaid wages and things like that after they have fallen victim to this kind of situation, so it is important that we should be strengthening the rights for undocumented immigrants	43	2.52941176470588	20140723	andrea|service|us|ep|home|eu|afet|council|francoise|orlando|rapporteur|union|ec|jozsef|le|affairs|ppe|monika|hohlmeier|commission|jha|decision|dg|court|legal|parliament|consideration|schengen|european|brussels|antall|justice|chair	eu it has been very difficult for some of these workers to get unpaid wages and things le that after they have fallen victim to this kind of situation so it is important that we should be strengthening the rights for undocumented immigrants le le le le
